courseCode,courseName,major
AACG8990 , Accounting and Corporate Governance, Accounting and Corporate Governance  
ABST1000 , Introducing Indigenous Australia, Indigenous Studies  
ABST1020 ," Dharug Country: Presences, Places and People", Indigenous Studies  
ABST2020 , Indigenous Culture and Text, Indigenous Studies  
ABST2035 , Indigenous Queer Studies, Indigenous Studies  
ABST2060 , Indigenous Histories and Knowledges, Indigenous Studies  
ABST3025 , Indigenous Research Methodologies, Indigenous Studies  
ABST3035 , Indigenous Queer Theory & Practice, Indigenous Studies  
ABST3040 , Indigenous Policy: Politics and Activism, Indigenous Studies  
ABST8990 , Indigenous Studies, Indigenous Studies  
ABSX1000 , Introducing Indigenous Australia, Indigenous Studies  
ABSX1020 ," Dharug Country: Presences, Places and People", Indigenous Studies  
ABSX1030 , Introduction to Indigenous Queer Studies, Indigenous Studies  
ABSX2020 , Indigenous Culture and Text, Indigenous Studies  
ABSX2035 , Indigenous Queer Studies, Indigenous Studies  
ABSX2060 , Indigenous Histories and Knowledges, Indigenous Studies  
ABSX3025 , Indigenous Research Methodologies, Indigenous Studies  
ABSX3035 , Indigenous Queer Theory and Practice, Indigenous Studies  
ABSX3040 , Indigenous Policy: Politics and Activism, Indigenous Studies  
ACCG1000 , Accounting in Society, Accounting and Corporate Governance  
ACCG1001 , Accounting and Governance, Accounting and Corporate Governance  
ACCG2000 , Management Accounting, Accounting and Corporate Governance  
ACCG2002 , Finance and Regulation for New Ventures, Accounting and Corporate Governance  
ACCG2024 , Financial Accounting and Reporting, Accounting and Corporate Governance  
ACCG2050 , Information Systems and Business Processes, Accounting and Corporate Governance  
ACCG2051 , Business and Corporations Law, Accounting and Corporate Governance  
ACCG2065 , Blockchain for Business, Accounting and Corporate Governance  
ACCG2067 , Foundations of Forensic and Data Analytics, Accounting and Corporate Governance  
ACCG3001 , Organisational Planning and Control, Accounting and Corporate Governance  
ACCG3008 , Corporate Accounting and Business Advisory, Accounting and Corporate Governance  
ACCG3015 , Accountants in the Profession, Accounting and Corporate Governance  
ACCG3020 , Taxation Law and Practice, Accounting and Corporate Governance  
ACCG3025 , Cyber Security and Privacy, Accounting and Corporate Governance  
ACCG3030 , Strategic Management Accounting, Accounting and Corporate Governance  
ACCG3040 , Auditing and Assurance Services, Accounting and Corporate Governance  
ACCG3050 , Financial Statement Analysis, Accounting and Corporate Governance  
ACCG3055 , Information Systems for Management, Accounting and Corporate Governance  
ACCG3058 , Information Systems Audit and Assurance, Accounting and Corporate Governance  
ACCG3060 , Cyber Security Governance and Ethics, Accounting and Corporate Governance  
ACCG6003 , Managing Finance, Accounting and Corporate Governance  
ACCG6011 , Principles of Accounting, Accounting and Corporate Governance  
ACCG6014 , Business and Company Law, Accounting and Corporate Governance  
ACCG7025 , Auditing and Assurance Services, Accounting and Corporate Governance  
ACCG7027 , Current Issues in Accounting and Corporate Governance, Accounting and Corporate Governance  
ACCG7028 , Management Control Systems, Accounting and Corporate Governance  
ACCG7035 , International Accounting, Accounting and Corporate Governance  
ACCG8022 , Information Systems in Business, Accounting and Corporate Governance  
ACCG8025 , Management Accounting: Strategy and Control, Accounting and Corporate Governance  
ACCG8028 , Management Control Systems, Accounting and Corporate Governance  
ACCG8035 , International Accounting, Accounting and Corporate Governance  
ACCG8042 , Measuring and Managing Performance, Accounting and Corporate Governance  
ACCG8047 , Fundamentals of Forensic Accounting, Accounting and Corporate Governance  
ACCG8048 , Business and Professional Ethics, Accounting and Corporate Governance  
ACCG8076 , Forensic and Data Analytics, Accounting and Corporate Governance  
ACCG8077 , Forensic Accountants and the Courts, Accounting and Corporate Governance  
ACCG8078 , Investigation Engagements, Accounting and Corporate Governance  
ACCG8086 ," Cyber Security, Governance Frameworks and Ethics", Accounting and Corporate Governance  
ACCG8089 , Loss and Damage and other Dispute Engagements, Accounting and Corporate Governance  
ACCG8092 , Blockchain for Competitive Advantage, Accounting and Corporate Governance  
ACCG8121 , Managerial Accounting, Accounting and Corporate Governance  
ACCG8123 , Accounting Standards and Practice, Accounting and Corporate Governance  
ACCG8124 , Taxation Law, Accounting and Corporate Governance  
ACCG8125 , Auditing and Assurance Services, Accounting and Corporate Governance  
ACCG8126 , Corporate Accounting, Accounting and Corporate Governance  
ACCG8127 , Current Issues in Accounting and Corporate Governance, Accounting and Corporate Governance  
ACCG8141 , Strategic Business Leader I, Accounting and Corporate Governance  
ACCG8142 , Strategic Business Reporting, Accounting and Corporate Governance  
ACCG8143 , Strategic Business Leader II, Accounting and Corporate Governance  
ACCG8144 , Advanced Financial Management, Accounting and Corporate Governance  
ACCG8145 , Advanced Audit and Assurance, Accounting and Corporate Governance  
ACCG8146 , Advanced Performance Management, Accounting and Corporate Governance  
ACCG8150 , Contemporary Accounting Practice, Accounting and Corporate Governance  
ACCG8220 , Audit and Assurance, Accounting and Corporate Governance  
ACCG8221 , Financial Accounting and Reporting, Accounting and Corporate Governance  
ACCG8222 , Management Accounting and Applied Finance, Accounting and Corporate Governance  
ACCG8223 , Taxation, Accounting and Corporate Governance  
ACCG8224 , CA ?C Integrative, Accounting and Corporate Governance  
ACCG8303 , Global Strategy and Leadership, Accounting and Corporate Governance  
ACCG8304 , Advanced Audit and Assurance, Accounting and Corporate Governance  
ACCG8305 , Financial Risk Management, Accounting and Corporate Governance  
ACCG8307 , Financial Reporting, Accounting and Corporate Governance  
ACCG8308 , Strategic Management Accounting, Accounting and Corporate Governance  
ACCG8309 , Advanced, Accounting and Corporate Governance  
ACCG8313 , Ethics and Governance, Accounting and Corporate Governance  
ACOM1001 , Academic Communication in the Social Sciences and Humanities, Linguistics  
ACST1001 , Finance 1A, Actuarial Studies and Business Analytics  
ACST1052 , Introduction to Actuarial Studies, Actuarial Studies and Business Analytics  
ACST2001 , Financial Modelling, Actuarial Studies and Business Analytics  
ACST2002 , Mathematics of Finance, Actuarial Studies and Business Analytics  
ACST2052 , Finance and Financial Reporting, Actuarial Studies and Business Analytics  
ACST2055 , Contingent Payments, Actuarial Studies and Business Analytics  
ACST3006 , Quantitative Asset and Liability Modelling 1, Actuarial Studies and Business Analytics  
ACST3007 , Quantitative Asset and Liability Modelling 2, Actuarial Studies and Business Analytics  
ACST3058 , Survival Models, Actuarial Studies and Business Analytics  
ACST3059 , Actuarial Modelling, Actuarial Studies and Business Analytics  
ACST4002 , Actuarial Control Cycle 1, Actuarial Studies and Business Analytics  
ACST4003 , Actuarial Control Cycle 2, Actuarial Studies and Business Analytics  
ACST4005 , Actuarial Data Analytics, Actuarial Studies and Business Analytics  
ACST6003 , Principles of Finance, Actuarial Studies and Business Analytics  
ACST7031 , Actuarial Control Cycle 1, Actuarial Studies and Business Analytics  
ACST8029 , Capital Budgeting and Financial Modelling, Actuarial Studies and Business Analytics  
ACST8031 , Actuarial Control Cycle 1, Actuarial Studies and Business Analytics  
ACST8032 , Actuarial Control Cycle 2, Actuarial Studies and Business Analytics  
ACST8040 , Quantitative Research Methods, Actuarial Studies and Business Analytics  
ACST8052 , Finance and Financial Reporting, Actuarial Studies and Business Analytics  
ACST8081 , Mathematics of Finance, Actuarial Studies and Business Analytics  
ACST8082 , Contingent Payments, Actuarial Studies and Business Analytics  
ACST8083 , Actuarial Statistics, Actuarial Studies and Business Analytics  
ACST8084 , Survival Models, Actuarial Studies and Business Analytics  
ACST8085 , Quantitative Methods for Risk Analysis, Actuarial Studies and Business Analytics  
ACST8086 , Actuarial Modelling, Actuarial Studies and Business Analytics  
ACST8087 , Quantitative Asset and Liability Modelling 1, Actuarial Studies and Business Analytics  
ACST8088 , Quantitative Asset and Liability Modelling 2, Actuarial Studies and Business Analytics  
ACST8095 , Actuarial Data Analytics, Actuarial Studies and Business Analytics  
AFCL8001 , Portfolio Management and Valuation, Applied Finance  
AFCL8002 , Professional Practice, Applied Finance  
AFCL8003 , Corporate Finance, Applied Finance  
AFCL8004 , Financial Instruments, Applied Finance  
AFCL8005 , Financial Risk Management, Applied Finance  
AFCL8050 , Corporate Treasury Management, Applied Finance  
AFCL8054 , Investment and Credit Analysis, Applied Finance  
AFCL8056 , Lending and Borrowing Decisions, Applied Finance  
AFCL8086 , Debt Capital Markets, Applied Finance  
AFCL8090 , Equity Capital Markets, Applied Finance  
AFCL8094 , Private Wealth Management, Applied Finance  
AFCL8095 , Private Equity Investment, Applied Finance  
AFCP6016 , Finance Principles, Applied Finance  
AFCP6017 , Case Studies in Applied Finance, Applied Finance  
AFCP6018 , Quantitative and Economic Analysis, Applied Finance  
AFCP6019 , Financial Statement Analysis and Modelling, Applied Finance  
AFCP8003 , Corporate Finance, Applied Finance  
AFCP8050 , Corporate Treasury Management, Applied Finance  
AFCP8054 , Investment and Credit Analysis, Applied Finance  
AFCP8061 , Corporate Financial Strategy, Applied Finance  
AFCP8086 , Debt Capital Markets, Applied Finance  
AFCP8094 , Private Wealth Management, Applied Finance  
AFCX6016 , Finance Principles, Applied Finance  
AFCX6017 , Case Studies in Applied Finance, Applied Finance  
AFCX6018 , Quantitative and Economic Analysis, Applied Finance  
AFCX6019 , Financial Statement Analysis and Modelling, Applied Finance  
AFIN1002 , Finance 1B, Applied Finance  
AFIN2000 , Principles of Financial Literacy, Applied Finance  
AFIN2050 , Investments, Applied Finance  
AFIN2053 , Financial Management, Applied Finance  
AFIN2070 , Stochastic Methods in Applied Finance, Applied Finance  
AFIN3010 , Issues in Applied Finance, Applied Finance  
AFIN3012 , Issues in Corporate Finance, Applied Finance  
AFIN3028 , Financial Risk Management, Applied Finance  
AFIN3029 , Derivative Instruments, Applied Finance  
AFIN3052 , Applied Portfolio Management, Applied Finance  
AFIN3053 , Advanced Corporate Finance, Applied Finance  
AFIN6013 , Financial Statement Analysis and Modelling, Applied Finance  
AFIN7001 , Finance Theory, Applied Finance  
AFIN7002 , Finance Empirical, Applied Finance  
AFIN7005 , Research in Finance, Applied Finance  
AFIN7008 , Corporate Finance, Applied Finance  
AFIN7039 , Portfolio Management, Applied Finance  
AFIN8001 , Finance Theory, Applied Finance  
AFIN8002 , Finance Empirical, Applied Finance  
AFIN8003 , Banking and Financial Intermediation, Applied Finance  
AFIN8005 , Research Methods in Banking and Finance, Applied Finance  
AFIN8006 , Risk Management and Derivatives, Applied Finance  
AFIN8008 , Corporate Finance, Applied Finance  
AFIN8010 , Environmental Finance, Applied Finance  
AFIN8011 , Business and Global Environmental Change, Applied Finance  
AFIN8012 , Fixed Income and Credit Analysis, Applied Finance  
AFIN8013 , Alternative Securities, Applied Finance  
AFIN8014 , FinTech and Innovation, Applied Finance  
AFIN8015 , Financial Data Science, Applied Finance  
AFIN8016 ," Payments, Cryptocurrencies and Blockchain", Applied Finance  
AFIN8017 , Digital Finance, Applied Finance  
